article,word_de,word_en,correctCount,incorrectCount
der,Hund,dog,0,0
die,Katze,cat,0,0
das,Buch,book,0,0
die,Blume,flower,0,0
der,Stuhl,chair,0,0
das,Auto,car,0,0
die,Tasse,cup,0,0
der,Tisch,table,0,0
die,Schule,school,0,0
das,Fenster,window,0,0
die,Hand,hand,0,0
der,Baum,tree,0,0
das,Haus,house,0,0
die,Stadt,city,0,0
der,Apfel,apple,0,0
die,Banane,banana,0,0
das,Wasser,water,0,0
die,Milch,milk,0,0
der,Kaffee,coffee,0,0
das,Brot,bread,0,0
die,Butter,butter,0,0
der,Käse,cheese,0,0
das,Fleisch,meat,0,0
die,Suppe,soup,0,0
der,Fisch,fish,0,0
das,Ei,egg,0,0
die,Tomate,tomato,0,0
der,Salat,salad,0,0
das,Obst,fruit,0,0
die,Orange,orange,0,0
der,Reis,rice,0,0
das,Huhn,chicken,0,0
die,Kartoffel,potato,0,0
der,Kuchen,cake,0,0
das,Eis,ice cream,0,0
die,Schokolade,chocolate,0,0
der,Zucker,sugar,0,0
das,Salz,salt,0,0
die,Pfeffer,pepper,0,0
der,Computer,computer,0,0
das,Telefon,telephone,0,0
die,Uhr,clock,0,0
der,Stift,pen,0,0
das,Heft,notebook,0,0
die,Tür,door,0,0
der,Boden,floor,0,0
das,Bild,picture,0,0
die,Decke,ceiling,0,0
der,Schrank,wardrobe,0,0
das,Bett,bed,0,0
die,Lampe,lamp,0,0
der,Spiegel,mirror,0,0
das,Kissen,pillow,0,0
die,Decke,blanket,0,0
der,Teppich,carpet,0,0
das,Glas,glass,0,0
die,Flasche,bottle,0,0
der,Teller,plate,0,0
das,Besteck,cutlery,0,0
die,Gabel,fork,0,0
der,Löffel,spoon,0,0
das,Messer,knife,0,0
die,Schüssel,bowl,0,0
der,Topf,pot,0,0
das,Brett,board,0,0
die,Schere,scissors,0,0
der,Schlüssel,key,0,0
das,Auto,car,0,0
die,Fahrrad,bicycle,0,0
der,Bus,bus,0,0
das,Zug,train,0,0
die,Tram,tram,0,0
der,Flughafen,airport,0,0
das,Flugzeug,airplane,0,0
die,Schiff,ship,0,0
der,Hafen,harbor,0,0
das,Taxi,taxi,0,0
die,Polizei,police,0,0
der,Krankenwagen,ambulance,0,0
das,Krankenhaus,hospital,0,0
die,Apotheke,pharmacy,0,0
der,Arzt,doctor,0,0
das,Medikament,medicine,0,0
die,Schule,school,0,0
der,Lehrer,teacher,0,0
das,Kind,child,0,0
die,Familie,family,0,0
der,Vater,father,0,0
das,Mutter,mother,0,0
die,Eltern,parents,0,0
der,Bruder,brother,0,0
das,Schwester,sister,0,0
die,Oma,grandma,0,0
der,Opa,grandpa,0,0
das,Baby,baby,0,0
die,Frau,woman,0,0
der,Mann,man,0,0
das,Freund,friend,0,0
die,Person,person,0,0
